Type,Female,"Male Key",Non-Binary,"Female Display","Male Display","Non-Binary Display"
subject,she,he,they,,,
object,her,him,them,,,
determiner,herd,hisd,hird,her,his,their
possessive,hers,his,their,,,
reflexive,herself,himself,themself,,,
