Type,Female,"Male Key",Non-Binary,"Female Display","Male Display","Non-Binary Display"
2BRO2B,facialf,facialm,facialnb,"a lot of facial hair -- an unmistakable mustache","tight, warped lips -- an unmistakable pout","tight, warped lips -- an unmistakable pout"
2BRO2B2,facialf2,facialm2,facialnb2,mustaches,pouts,pouts
hosts,hostesses,hostsm,hostnb,,hosts,hosts
host,hostess,hostm,hostnb,,host,host
Zeus,athena,zeus,divinenb,,,divinity
hieght,sixf,sevenm,sixnb,six,seven,six
genitals,cunt,dick,privatesnb,,,crotch
genitals2,cervix,ballsm,crotchnb,,balls,crotch
masturbate,masturbatef,masturbatem,masturbatenb,"puts her fingers in herself","wraps his hand around himself","touches themself"
genitals3,cervixf,ballsmm,crotchnbb,"pressed against her cervix","clutching at his balls","pressed against hir crotch"
genitals4,cuntf,dickm,cuntnb,"cunt ass",ass,ass
entered,suckedf,enteredm,suckednb,"she tongued","he entered","ze sucked"
genitals5,cunt5,dick5,legs5,Legs.,"Legs. Dick.",Legs.
gentifals6,cunt6,ass6,ass6,cunt,ass,ass
surogate,child-bearer,sperm-donor,gamete-donor,,,
bear,bearf,fatherm,raisenb,bear,father,raise
Marta,martaf,martam,Martanb,Marta,Martin,Mari
small,smallf,broadm,impressivenb,small,broad,impressive
curves,curvesf,planesm,gracenb,"soft curves","hard planes","toned grace"
mound,moundf,plateaum,linenb,"soft mound","hard plateau","toned line"
spade-beard,spadef,spadem,spadenb,Spade-heart,Spade-beard,Spade-heart
Helen,helenf,haroldm,harrinb,Helen,Harold,Harri
period,periodf,periodm,periodnb,"her period","a bloody nose","a bloody nose"
Steaks1,steaksf,steaksm,steaksnb,"Li Yuanhui","Li Yuanhui","Li Yuanjing"
Steaks2,steaks2f,steaks2m,steaks2nb,"Lee Jyun Wai","Lee Jyun Fai","Lee Jyun Zing"
Santa,santaf,santa,santanb,"Mrs. Claus","Santa Claus","a north pole elf"
beard22,beard2f,beard2m,beard2nb,braid,beard,"pony tail"
whiskery,whiskeryf,whiskery,whiskerynb,rough,,rough
LordJapanese,kogo,tawara,kunshu,,,
Bud,sisf,budm,palnb,sis,bud,pal
"Eros,Philipa,Agape1",jessica1,jessie1,jes1,Jessica,Jessie,Jes
"Eros,Philipa,Agape2",eleanor1,eugene1,eran1,Eleanor,Eugene,Eran
"Eros,Philipa,Agape3",nanette1,nicholas1,nicky1,Nanette,Nicholas,Nicky
heir,heiress,heir,heir,,,
Don,donna,ddon,donne,Donna,Don,Donne
Patriarch,matriach,patriarch,ancesternb,,,ancester
chap,gal2,chap,chapnb,gal,,soul
RobinHood,rh-poemf,rh-poemm,rh-poemnb,"""And thus having ended this merry wedding,The bride looked like a queen:And so they re-turned to the merry green wood,Amongst the leaves so green.""","""So they re-turned to the merry green wood,And the bridegroom looked like a king,Amongst the forest leaves so green.Having ended this merry wedding.""","""And thus having ended this merry wedding, the lovers seemed in a dream:And so they re-turned to the merry green wood,Amongst the leaves so green."""
Intertropcial,iczf,iczm,icznb,"my belly","her mother's belly","before she was born"
paterfamilias,matriarch2,paterfamilias,paternb,matriarch,,"head of the family"
Repairer1,repairerf,repairerm,repairernb,Louise,Louis,Lou
girlish,girlish,boyish,childish,,,
Rex,reginaf,rexm,rexnm,Regina,Rex,Regis
Demoiselle2,nurse2,steward2,servant2,nurse,steward,servant
fella,gal3,fella,scamp3,gal,,scamp
mustachioed,mustachioedf,mustachioed,mustachioednb,braided,,tattooed
mustach2,mustach2f,mustach2,mustach2nd,braids,,tattoo
mustachioes,mustachioesf,mustachioes,mustachioesnb,braids,,braids
clean-shaven,clean-shavenf,clean-shaven,clean-shavennb,hair-unbound,,bare-headed
emperor,empress,emperor,sovereignnb,,,sovereign
